Date,Open,High,Low,Close
2018-01-02,112.576,112.79,112.053,112.285
2018-01-03,112.274,112.608,112.17,112.508
2018-01-04,112.5,112.861,112.457,112.746
2018-01-05,112.74,113.306,112.714,113.052
2018-01-08,113.123,113.384,112.878,113.087
2018-01-09,113.089,113.18,112.367,112.649
2018-01-10,112.644,112.785,111.269,111.43
2018-01-11,111.427,111.873,111.042,111.265
2018-01-12,111.256,111.695,110.912,111.04
2018-01-15,111.075,111.184,110.329,110.527
2018-01-16,110.528,110.982,110.245,110.471
2018-01-17,110.449,111.346,110.193,111.302
2018-01-18,111.277,111.48,110.69,111.101
2018-01-19,111.096,111.132,110.492,110.821
2018-01-22,110.569,111.226,110.503,110.936
2018-01-23,110.913,111.18,110.253,110.291
2018-01-24,110.305,110.336,108.968,109.221
2018-01-25,109.213,109.703,108.499,109.409
2018-01-26,109.404,109.768,108.279,108.641
2018-01-29,108.701,109.204,108.509,108.959
2018-01-30,108.949,109.207,108.415,108.782
2018-01-31,108.771,109.444,108.593,109.18
2018-02-01,109.18,109.751,109.095,109.403
2018-02-02,109.408,110.485,109.28,110.174
2018-02-05,110.181,110.292,108.992,109.148
2018-02-06,109.082,109.653,108.456,109.559
2018-02-07,109.553,109.711,108.92,109.335
2018-02-08,109.322,109.786,108.583,108.757
2018-02-09,108.733,109.309,108.045,108.803
2018-02-12,108.842,108.886,108.436,108.659
2018-02-13,108.653,108.78,107.408,107.815
2018-02-14,107.817,107.902,106.72,107.015
2018-02-15,106.995,107.007,106.035,106.147
2018-02-16,106.117,106.4,105.547,106.29
2018-02-19,106.33,106.73,106.096,106.588
2018-02-20,106.589,107.38,106.562,107.325
2018-02-21,107.322,107.904,107.277,107.776
2018-02-22,107.773,107.774,106.596,106.753
2018-02-23,106.743,107.131,106.509,106.851
2018-02-26,107.175,107.175,106.372,106.946
2018-02-27,106.907,107.677,106.785,107.327
2018-02-28,107.322,107.526,106.564,106.682
2018-03-01,106.669,107.203,106.162,106.238
2018-03-02,106.223,106.297,105.247,105.722
2018-03-05,105.443,106.237,105.349,106.196
2018-03-06,106.192,106.465,105.852,106.118
2018-03-07,106.126,106.224,105.457,106.063
2018-03-08,106.066,106.316,105.892,106.198
2018-03-09,106.195,107.053,106.154,106.803
2018-03-12,106.65,106.974,106.316,106.413
2018-03-13,106.41,107.295,106.255,106.578
2018-03-14,106.572,106.751,106.066,106.327
2018-03-15,106.318,106.414,105.785,106.341
2018-03-16,106.339,106.377,105.603,106.012
2018-03-19,105.908,106.306,105.677,106.095
2018-03-20,106.085,106.605,105.926,106.533
2018-03-21,106.533,106.638,105.878,106.042
2018-03-22,106.048,106.086,105.261,105.28
2018-03-23,105.275,105.404,104.636,104.719
2018-03-26,104.655,105.479,104.629,105.397
2018-03-27,105.404,105.906,105.326,105.332
2018-03-28,105.326,107.011,105.324,106.851
2018-03-29,106.833,106.934,106.267,106.428
2018-03-30,106.424,106.54,106.125,106.272
2018-04-02,106.166,106.448,105.656,105.901
2018-04-03,105.876,106.657,105.692,106.604
2018-04-04,106.608,106.849,105.991,106.774
2018-04-05,106.76,107.49,106.708,107.382
2018-04-06,107.381,107.461,106.776,106.942
2018-04-09,106.96,107.201,106.614,106.745
2018-04-10,106.768,107.397,106.616,107.198
2018-04-11,107.194,107.25,106.649,106.79
2018-04-12,106.782,107.428,106.698,107.346
2018-04-13,107.313,107.779,107.204,107.343
2018-04-16,107.494,107.606,107.034,107.112
2018-04-17,107.106,107.21,106.88,107.005
2018-04-18,106.999,107.385,106.984,107.225
2018-04-19,107.23,107.518,107.184,107.372
2018-04-20,107.355,107.855,107.354,107.64
2018-04-23,107.785,108.754,107.663,108.702
2018-04-24,108.702,109.204,108.545,108.814
2018-04-25,108.812,109.454,108.785,109.425
2018-04-26,109.417,109.467,109.063,109.3
2018-04-27,109.289,109.536,108.954,109.079
2018-04-30,109.062,109.453,109.021,109.325
2018-05-01,109.336,109.89,109.236,109.863
2018-05-02,109.855,110.033,109.592,109.845
2018-05-03,109.83,109.916,108.928,109.194
2018-05-04,109.19,109.276,108.65,109.063
2018-05-07,109.112,109.398,108.758,109.092
2018-05-08,109.084,109.348,108.824,109.131
2018-05-09,109.121,109.833,108.996,109.743
2018-05-10,109.738,110.016,109.314,109.39
2018-05-11,109.389,109.566,109.149,109.364
2018-05-14,109.335,109.672,109.209,109.645
2018-05-15,109.642,110.453,109.642,110.35
2018-05-16,110.341,110.403,110.04,110.403
2018-05-17,110.394,110.861,110.074,110.775
2018-05-18,110.745,111.081,110.607,110.763
2018-05-21,110.871,111.396,110.822,111.044
2018-05-22,111.032,111.183,110.794,110.894
2018-05-23,110.893,110.921,109.558,110.083
2018-05-24,110.067,110.088,108.952,109.246
2018-05-25,109.241,109.744,109.059,109.444
2018-05-28,109.74,109.83,109.234,109.409
2018-05-29,109.397,109.466,108.112,108.767
2018-05-30,108.754,109.074,108.352,108.901
2018-05-31,108.904,109.004,108.386,108.809
2018-06-01,108.806,109.736,108.724,109.509
2018-06-04,109.448,109.852,109.369,109.814
2018-06-05,109.814,110.006,109.473,109.795
2018-06-06,109.776,110.264,109.774,110.185
2018-06-07,110.174,110.219,109.473,109.696
2018-06-08,109.686,109.849,109.195,109.534
